,Name,ID,Age,Nationality,primary_pos,Value
2727,J. Pelupessy,209701,24,Netherlands,CDM,4400000
2728,R. Dartés,160037,33,Chile,LM,1500000
2729,J. St. Juste,226853,20,Netherlands,CB,5500000
2730,Elias Fontoira,230437,33,Brazil,CDM,1600000
2731,L. Crisetig,197926,24,Italy,CDM,5000000
2732,A. Kruiswijk,137510,32,Netherlands,LB,2300000
2733,R. Benzar,235814,25,Romania,RM,0
2734,A. Pritchard,205351,24,England,LM,5500000
2735,R. Philippoteaux,212519,29,France,LW,3900000
2736,B. Assombalonga,203304,24,DR Congo,ST,4900000
2737,S. Pocognoli,163369,29,Belgium,LB,3000000
2738,C. Moritz,194089,27,Germany,CDM,4100000
2739,M. Urruti,215083,26,Argentina,ST,4800000
2740,D. Ciofani,178475,31,Italy,ST,3600000
2741,W. Katsande,206124,31,Zimbabwe,CM,2700000
2742,L. Ayling,186156,25,England,CB,4000000
2743,M. Caire,189228,28,Argentina,LB,3200000
2744,K. Saief,224813,23,United States,LM,5500000
2745,G. Cunningham,198190,26,Republic of Ireland,CB,3800000
2746,Marcos Paneira,230446,29,Brazil,RM,3100000
2747,M. Lustig,176942,30,Sweden,CB,2900000
2748,K. Bartley,186158,26,England,CB,4000000
2749,A. Rudņevs,192302,29,Latvia,ST,4000000
2750,G. Alcoba,215344,32,Uruguay,CB,2300000
2751,K. Monnet-Paquet,177712,28,France,RW,4000000
2752,R. Yabo,192560,25,Germany,CDM,4900000
2753,C. Njie,212273,23,Cameroon,LW,5500000
2754,E. Kalinski,215089,30,Argentina,CM,3700000
2755,Koo Ja Ryong,212018,25,Korea Republic,CB,4300000
2756,N. Sánchez,184626,31,Argentina,CB,2700000
2757,V. Forren,185394,29,Norway,CB,3100000
2758,M. Bianchetti,205363,24,Italy,CB,4300000
2759,F. Diedhiou,223283,24,Senegal,ST,5500000
2760,F. Novák,205364,27,Czech Republic,LB,3700000
2761,Lucas Lima,207924,25,Brazil,LB,4000000
2762,Somália,213556,28,Brazil,CDM,4000000
2763,M. Santos,230964,24,Uruguay,LM,5500000
2764,S. Ascacibar,232244,20,Argentina,CDM,7000000
2765,F. Rønnow,201269,24,Denmark,GK,3900000
2766,A. Fransson,213813,23,Sweden,CAM,5500000
2767,Muriel,184885,30,Brazil,GK,2600000
2768,A. Uchida,191541,29,Japan,RWB,3000000
2769,F. Di Francesco,213814,23,Italy,RW,6000000
2770,Juli Piresinho,230198,29,Brazil,RB,3000000
2771,Susaeta,146487,32,Spain,CAM,3100000
2772,Fausto Tienza,213559,27,Spain,CDM,4500000
2773,Vinicius Cardenha,230199,25,Brazil,CB,3500000
2774,C. Gardner,178487,30,England,CDM,3700000
2775,Osmar,193847,29,Spain,CDM,3100000
2776,Y. Nagatomo,194359,30,Japan,RB,2900000
2777,O. Sorg,201016,27,Germany,LB,3300000
2778,L. Vácha,184376,28,Czech Republic,CM,3200000
2779,V. Belec,193336,27,Slovenia,GK,3200000
2780,H. Gombez,160057,33,Chile,LB,1600000
2781,G. Dorrans,171321,30,Scotland,CDM,3700000
2782,Alberto,186681,32,Spain,GK,2300000
2783,J. Obi,193337,26,Nigeria,CM,4900000
2784,C. Hourihane,193849,26,Republic of Ireland,CM,4600000
2785,B. Kuwas,228666,24,Netherlands,RW,5000000
2786,S. Elana,111163,36,France,GK,550000
2787,E. Benítez,190523,29,Paraguay,LM,3900000
2788,K. Coulibaly,206141,25,Mali,ST,5000000
2789,L. Trossard,207421,22,Belgium,CAM,5500000
2790,A. Tuanzebe,231485,19,England,CDM,6000000
2791,B. Myhill,51261,34,Wales,GK,1600000
2792,M. Rovero,160062,25,Chile,CB,3500000
2793,Wellington Sabrão,230206,33,Brazil,LB,1600000
2794,Jason,215616,22,Spain,LM,6000000
2795,E. Sviatchenko,199745,25,Denmark,CB,4100000
2796,A. Rojas,211265,31,Argentina,LM,3400000
2797,C. Buchtmann,192321,25,Germany,CM,4900000
2798,Joselu,199490,26,Spain,LM,5000000
2799,J. Perbet,150594,32,France,ST,3200000
2800,V. Bystrov,147779,33,Russia,RM,2400000
2801,S. Pellissier,149571,38,Italy,ST,1400000
2802,G. Fabianos,160067,33,Chile,RB,1600000
2803,K. Amian Adou,231235,19,France,RB,6500000
2804,T. Sippel,177475,29,Germany,GK,2700000
2805,G. Fernández,211269,25,Argentina,CDM,5000000
2806,M. Kanazaki,213061,28,Japan,ST,4100000
2807,Castro,184133,29,Portugal,CDM,3900000
2808,L. Fuentes,187205,30,Mexico,LB,2900000
2809,Lee Jae Sung,191814,28,Korea Republic,CB,3200000
2810,A. Ring,205895,26,Finland,CM,4300000
2811,A. Isaksson,20551,35,Sweden,GK,950000
2812,Osvaldo Lodeiro,230215,29,Brazil,LB,3100000
2813,N. Douchez,117063,37,France,GK,270000
2814,E. Muñoz,186695,26,Argentina,CB,4200000
2815,C. Molinaro,149064,33,Italy,LM,1500000
2816,Orlando Sá,184136,29,Portugal,ST,4000000
2817,O. Martínez,190536,31,Paraguay,LW,3400000
2818,Guitián,198474,26,Spain,CDM,4200000
2819,H. Kekana,203594,32,South Africa,CDM,0
2820,D. Senderón,160074,33,Chile,CB,1600000
2821,Fabiano Sonta,230218,25,Brazil,CDM,3500000
2822,M. Coutadeur,177482,31,France,CDM,3400000
2823,F. Díaz,214603,33,Colombia,LB,0
2824,R. McCormack,155979,30,Scotland,CAM,3900000
2825,R. Danzé,178251,30,France,RB,2900000
2826,Clerc,204876,25,Spain,LM,4100000
2827,F. Dionisi,173132,30,Italy,LW,3900000
2828,S. Perica,219469,21,Croatia,ST,6000000
2829,Luís Aurélio,224077,28,Portugal,CM,4000000
2830,J. Djourou,162893,30,Switzerland,CB,3000000
2831,Rubén García,211022,23,Spain,RM,5500000
2832,Ailton Valpaços,230222,25,Brazil,CDM,3500000
2833,Park Joo Ho,191566,30,Korea Republic,CDM,2900000
2834,S. Petrov,198991,26,Russia,RB,3900000
2835,R. Donk,178255,31,Netherlands,CM,2700000
2836,W. Janssen,158800,30,Netherlands,CDM,3000000
2837,D. Florada,160080,33,Chile,ST,2400000
2838,A. Lazaar,206161,25,Morocco,LM,4400000
2839,M. Fritzler,172113,30,Argentina,CDM,3000000
2840,D. Montenegro,152914,38,Argentina,CM,1300000
2841,B. Bereszyński,199763,24,Poland,RB,4200000
2842,O. Nyland,185427,26,Norway,GK,3600000
2843,U. Spajić,215892,24,Serbia,RB,4500000
2844,R. Keogh,163156,30,Republic of Ireland,CB,3000000
2845,S. García,200278,28,Argentina,LB,3200000
2846,Toché,157270,34,Spain,ST,2100000
2847,J. Fabbro,169046,35,Paraguay,CAM,1800000
2848,D. Tiendalli,172630,31,Netherlands,LB,2600000
2849,J. Pereira,187478,30,Mexico,CB,3000000
2850,S. Prcić,206167,23,Bosnia Herzegovina,CM,4400000
2851,André Ramalho,210007,25,Brazil,CDM,4300000
2852,J. Duque,214615,30,Colombia,ST,3900000
2853,Jorge Carvallinho,230231,33,Brazil,LB,1600000
2854,Edgar Ié,210520,23,Portugal,RB,4800000
2855,J. Moreira,225880,27,Paraguay,RB,3700000
2856,A. Esswein,189272,27,Germany,ST,4200000
2857,J. Brabec,204121,24,Czech Republic,CB,4400000
2858,I. Sarr,235353,19,Senegal,ST,7000000
2859,M. Motta,171097,31,Italy,RM,2600000
2860,J. van Overeem,210010,23,Netherlands,CM,5000000
2861,Mata,223578,28,Spain,LM,4100000
2862,I. Lewczuk,188762,32,Poland,CB,2300000
2863,F. Kroos,191066,26,Germany,CM,4200000
2864,D. Escalonas,160091,33,Chile,CDM,1600000
2865,Welinton,192091,28,Brazil,CB,3600000
2866,L. Pokorný,237404,23,Czech Republic,CB,4700000
2867,Oriol Riera,159581,30,Spain,ST,3900000
2868,Robson Denho,230237,25,Brazil,CM,3500000
2869,J. Gandolfi,142942,36,Argentina,CB,550000
2870,A. Bukharov,166750,32,Russia,ST,3200000
2871,Xeka,236639,22,Portugal,CDM,6000000
2872,M. Rosenberg,46175,34,Sweden,ST,2100000
2873,G. Caprari,202848,23,Italy,CAM,5500000
2874,G. Hauche,203872,30,Argentina,LM,3900000
2875,M. Coldado,160096,29,Chile,RM,3100000
2876,M. Banguera,189024,31,Ecuador,GK,0
2877,A. Westwood,189280,27,England,CDM,4500000
2878,C. Ciano,201313,27,Italy,LW,4200000
2879,A. Andrade,214369,28,Colombia,CM,4000000
2880,Costinha,229473,24,Portugal,CAM,5500000
2881,T. Kuszczak,101473,35,Poland,GK,950000
2882,G. Milanov,211042,25,Bulgaria,CAM,4900000
2883,Pedro Rocha,229218,22,Brazil,LM,6000000
2884,R. Gurtner,176994,30,France,GK,2600000
2885,Samir,215651,22,Brazil,CB,4700000
2886,W. Anton,229476,20,Germany,RB,5500000
2887,D. Kombarov,187492,30,Russia,LWB,2900000
2888,J. Guðmundsson,191076,26,Iceland,CAM,4700000
2889,M. Jajalo,192612,29,Bosnia Herzegovina,CAM,3800000
2890,H. Mukhtar,210021,22,Germany,CAM,7000000
2891,Bustinza,224869,25,Spain,RWB,4300000
2892,F. Berrier,163429,33,France,CAM,2400000
2893,Gérson Noalha,230501,29,Brazil,LM,4000000
2894,Bernardo,232805,22,Brazil,LB,5000000
2895,M. Amalfitano,168293,32,France,RW,3100000
2896,T. Elyounoussi,169317,29,Norway,RM,0
2897,A. Gerndt,181349,30,Sweden,CAM,3900000
2898,O. Vizcarrondo,175462,33,Venezuela,CB,1600000
2899,M. Gómez,239207,20,Uruguay,ST,6000000
2900,I. Saadi,197480,25,France,ST,5000000
2901,F. Klaus,202088,24,Germany,LM,5000000
2902,O. Kayode,211048,24,Nigeria,ST,5500000
2903,Jorge Molina,154472,35,Spain,ST,1800000
2904,B. Başaçıkoğlu,209769,22,Turkey,LW,5500000
2905,M. Fraga,169321,29,Mexico,GK,2700000
2906,O. Kaya,172649,31,Belgium,LW,3500000
2907,F. Coloccini,48745,35,Argentina,CB,950000
2908,K. Möhwald,211818,23,Germany,CM,5500000
2909,D. Silva,214378,30,Colombia,CDM,3700000
2910,F. Ceravolo,173162,30,Italy,CAM,3900000
2911,A. Rodríguez,214379,28,Colombia,ST,4100000
2912,J. Góralski,229739,24,Poland,CM,0
2913,R. Boffin,178283,29,Belgium,GK,2700000
2914,J. Palomino,217196,27,Argentina,CB,3900000
2915,A. Ulmer,169324,31,Austria,LB,2600000
2916,J. Pied,183916,28,France,LB,3200000
2917,L. De Bock,190572,24,Belgium,LWB,4200000
2918,M. van der Hoorn,207725,24,Netherlands,CB,4400000
2919,C. Mayada,225646,26,Uruguay,RM,3400000
2920,M. Lazzari,235374,23,Italy,RM,5500000
2921,H. González,186990,26,Mexico,GK,3500000
2922,F. Ogude,201327,29,Nigeria,CM,3100000
2923,G. Laborde,209519,23,France,ST,5500000
2924,W. Zimmerman,212591,24,United States,CB,4500000
2925,S. Arfield,178287,28,Canada,CM,4000000
2926,A. González,207984,22,Mexico,CM,5500000
2927,O. Veigneau,165232,31,France,LB,2600000
2928,S. Barreiro,214129,23,Colombia,CB,5000000
2929,Gus Outomouro,230513,33,Brazil,LM,2500000
2930,C. Doukouré,195698,24,Ivory Coast,CM,4700000
2931,F. Sambueza,226419,28,Argentina,RM,4000000
2932,F. Rinaudo,192371,30,Argentina,CM,3000000
2933,S. Schrijvers,209780,20,Belgium,LM,6000000
2934,J. Plašil,112244,35,Czech Republic,CDM,1700000
2935,A. Smithies,184436,27,England,GK,3200000
2936,A. Barboza,229749,22,Argentina,CB,5500000
2937,T. Davies,230005,19,England,CAM,7000000
2938,S. Lung Jr.,205942,28,Romania,GK,3300000
2939,E. Ofori,219510,22,Ghana,CM,6000000
2940,D. Gibson,169590,29,Republic of Ireland,CDM,3800000
2941,G. Hooper,179574,29,England,ST,4000000
2942,F. Santander,201335,26,Paraguay,ST,5000000
2943,N. Füllkrug,205431,24,Germany,ST,5500000
2944,Leandro Vivenço,230519,29,Brazil,ST,4000000
2945,A. Ramírez,168567,36,Colombia,CDM,1300000
2946,S. Dewaest,184183,26,Belgium,CB,4200000
2947,T. Monconduit,203128,26,France,CM,4000000
2948,J. Cuero,214392,29,Colombia,LM,3900000
2949,Roni,215416,26,Brazil,CAM,4700000
2950,J. Kluivert,236920,18,Netherlands,LW,7000000
2951,A. Donatti,215162,30,Argentina,CB,3000000
2952,M. Barrios,221306,26,Colombia,LM,4700000
2953,M. Oyola,170362,34,Ecuador,LW,0
2954,G. Rodríguez,225659,22,Argentina,CM,4400000
2955,K. Musona,194171,27,Zimbabwe,RM,4200000
2956,Tiago,203388,24,Brazil,LM,4900000
2957,S. Sanogo,204156,28,Ivory Coast,CM,3600000
2958,M. Meza,216700,25,Argentina,LM,5000000
2959,W. Segrado,160124,29,Chile,LM,3900000
2960,Vítor Gomes,186748,29,Portugal,CDM,3800000
2961,M. Maâzou,187004,28,Niger,RW,4100000
2962,David Simão,192636,27,Portugal,CM,4500000
2963,V. Le Goff,193148,27,France,LB,3700000
2964,T. Foket,208509,22,Belgium,RB,5500000
2965,E. Pulgar,213629,23,Chile,CM,4700000
2966,H. Menosse,216701,30,Uruguay,CB,3000000
2967,Assis,234621,26,Brazil,CDM,4000000
2968,A. Roa,221310,24,Colombia,CAM,5500000
2969,A. Jędrzejczyk,177790,29,Poland,RB,3000000
2970,J. Howson,183422,29,England,CDM,3800000
2971,T. Šunjić,201343,28,Bosnia Herzegovina,CB,3600000
2972,J. Arango,221311,26,Colombia,ST,4700000
2973,W. Faríñez,228736,19,Venezuela,GK,0
2974,Varela,172672,32,Portugal,RM,3100000
2975,T. Reginiussen,177280,31,Norway,CB,2700000
2976,J. Mercier,191104,37,Argentina,CDM,550000
2977,Ilori,205185,24,Portugal,CB,4500000
2978,Benjamin Meseira,230529,33,Brazil,RB,1500000
2979,M. Suttner,169345,30,Austria,LWB,2900000
2980,K. Nordfeldt,192129,28,Sweden,GK,3300000
2981,J. Okore,204163,24,Denmark,CB,4400000
2982,T. Hořava,181123,29,Czech Republic,CAM,0
2983,J. Hansen,132740,32,Denmark,GK,2300000
2984,K. Fatai,213380,27,Nigeria,RW,4700000
2985,S. Kaya,167812,26,Turkey,CB,4200000
2986,A. Rodríguez,168580,33,Peru,CB,0
2987,M. Celtejo,160133,33,Chile,CAM,2400000
2988,Gustavo Lobateiro,230277,29,Brazil,ST,3900000
2989,J. García,178566,30,Argentina,GK,2600000
2990,Charles,229255,23,Brazil,GK,4400000
2991,C. Jenkinson,200841,25,England,RB,4000000
2992,K. Rekik,205193,22,Netherlands,CB,4700000
2993,F. Cerro,215177,29,Argentina,CAM,3800000
2994,A. Petagna,215689,22,Italy,ST,6000000
2995,G. Murray,172937,33,England,ST,2500000
2996,Momo,146058,34,Spain,RM,2000000
2997,S. Mitrović,209547,27,Serbia,CB,3900000
2998,A. Mosquera,219787,27,Colombia,RB,3900000
2999,Evandro Rochedo,230283,33,Brazil,ST,2500000
3000,M. Sperduti,213132,31,Argentina,LM,3500000
3001,S. Deli,228236,25,Ivory Coast,CDM,0
3002,D. Cure,232076,27,Venezuela,LM,4200000
3003,M. Diamé,188556,30,Senegal,CM,3800000
3004,L. Chichizola,191628,27,Argentina,GK,3200000
3005,H. Traoré,219789,25,Mali,RWB,4100000
3006,D. Mesbah,157581,32,Algeria,LM,2200000
3007,Crespo,172685,30,Spain,LB,3000000
3008,T. Hubočan,186253,31,Slovakia,CB,2700000
3009,A. Ionov,187533,28,Russia,LM,4000000
3010,R. Kambolov,189581,27,Russia,CDM,3900000
3011,Michel Cruceiro,230286,25,Brazil,CM,3500000
3012,M. Tekdemir,182670,29,Turkey,CDM,3100000
3013,Javi Castellano,190094,29,Spain,CM,3100000
3014,G. Loria,192910,31,Georgia,GK,2400000
3015,P. Olkowski,204687,27,Poland,RM,3700000
3016,D. Quintero,190607,29,Colombia,RM,4000000
3017,M. Jimañez,160144,29,Chile,LM,4000000
3018,Luiz Araújo,234128,21,Brazil,CAM,6000000
3019,J. Sala,197777,25,Italy,CM,4300000
3020,A. Bouhaddouz,188305,30,Morocco,ST,3900000
3021,C. Santos,193169,29,Venezuela,CAM,4000000
3022,H. Behrens,193425,27,Germany,CM,3800000
3023,A. Thomasson,208787,23,France,CM,5000000
3024,L. Mazzitelli,221331,21,Italy,CM,4900000
3025,M. Gazzola,183188,32,Italy,RB,2200000
3026,C. McGregor,211093,24,Scotland,CDM,5000000
3027,F. Hinestroza,214421,27,Colombia,RM,4200000
3028,A. Mawson,208534,23,England,CB,6000000
3029,F. Guilbert,227222,22,France,RM,5500000
3030,S. Aigner,176790,29,Germany,RM,3900000
3031,J. Colback,193942,27,England,CM,3900000
3032,Bruno Saltor,145047,36,Spain,RB,450000
3033,Marlon Santos,215703,21,Brazil,CB,5500000
3034,A. Shunin,167575,30,Russia,GK,2600000
3035,A. Judge,184471,28,Republic of Ireland,LM,4000000
3036,A. Marelos,160152,33,Chile,LM,2500000
3037,F. Falco,210329,25,Italy,LW,5500000
3038,Marín,224921,20,Spain,LWB,6000000
3039,O. Estupiñán,228761,20,Colombia,ST,6000000
3040,B. Guzan,164505,32,United States,GK,2300000
3041,N. Uysal,193945,26,Turkey,RB,4000000
3042,J. Brenet,209818,23,Netherlands,RB,4300000
3043,J. O'Shea,3484,36,Republic of Ireland,CB,550000
3044,B. Peñena,160156,29,Chile,ST,4000000
3045,M. Gobbi,137373,36,Italy,LB,450000
3046,S. Kverkvelia,205469,25,Georgia,LB,4300000
3047,F. Adi,219806,26,Nigeria,ST,5000000
3048,C. Schindler,200607,27,Germany,CB,4000000
3049,D. Arias,202399,32,Colombia,CM,2300000
3050,F. Lucioni,204447,29,Italy,CB,3100000
3051,J. Aterola,160159,29,Chile,CAM,3900000
3052,Y. Erdoğan,223136,24,Turkey,RM,5000000
3053,Paulinho,164256,31,Brazil,ST,3600000
3054,N. Johansson,44960,37,Sweden,LWB,550000
3055,W. Erviti,139169,37,Argentina,CM,1300000
3056,Quique,189857,27,Spain,LM,4700000
3057,L. Janson,215202,22,Argentina,ST,6000000
3058,J. Zúñiga,176546,31,Colombia,LM,2600000
3059,K. Rausch,186274,27,Russia,LM,3300000
3060,E. Del Carro,159908,25,Chile,GK,2900000
3061,M. Guidaros,160164,33,Chile,RB,1500000
3062,D. Machado,220837,23,Colombia,LM,4600000
3063,G. Shoji,232869,24,Japan,CB,4700000
3064,S. Plavšić,240037,21,Serbia,RM,5500000
3065,D. Villalva,190629,24,Argentina,ST,5000000
3066,A. Smith,190885,26,England,RB,4100000
3067,M. Krmenčík,205478,24,Czech Republic,ST,0
3068,M. Pucciarelli,205735,26,Italy,ST,5000000
3069,J. Haberer,211879,23,Germany,CAM,5500000
3070,M. Shevchenko,213927,24,Ukraine,GK,4000000
3071,R. Mantores,159911,25,Chile,GK,2900000
3072,Bueno,178087,29,Spain,ST,3900000
3073,Kim Seung Gyu,191655,26,Korea Republic,GK,3300000
3074,A. Flint,202408,27,England,CB,3800000
3075,S. Padoin,102056,33,Italy,LB,1500000
3076,A. Özbiliz,200106,27,Armenia,LM,4200000
3077,M. Veljković,221354,21,Serbia,CDM,5500000
3078,I. Success,222634,21,Nigeria,ST,6500000
3079,I. Diomandé,203435,24,Ivory Coast,CDM,4500000
3080,V. Laurini,210859,28,France,RB,3200000
3081,Alex López,172716,29,Spain,CDM,3800000
3082,D. Kadah,185260,31,Turkey,ST,3500000
3083,A. Behich,202157,26,Australia,RB,4100000
3084,B. Bjarnason,175789,29,Iceland,RM,3900000
3085,D. Gosling,184749,27,England,CM,4100000
3086,M. Bizot,200110,26,Netherlands,GK,3500000
3087,L. Castellanos,214190,33,Colombia,GK,2000000
3088,N. Roux,183982,29,France,ST,4000000
3089,T. Letschert,209839,24,Netherlands,CB,4000000
3090,S. Sow,191151,28,Mali,CDM,3600000
3091,Danilo Avelar,202672,28,Brazil,LB,3200000
3092,J. Jeanvier,209840,24,France,CB,4500000
3093,C. Terzi,102064,33,Italy,CB,1600000
3094,H. Yebda,138673,33,Algeria,CM,1600000
3095,J. Alonso,220337,24,Paraguay,CB,4700000
3096,Alex Berenguer,225201,21,Spain,LM,5000000
3097,J. Mbakogu,200882,24,Nigeria,ST,5000000
3098,E. Korkmaz,144306,34,Turkey,CB,1200000
3099,Y. Kobayashi,233138,29,Japan,LM,4000000
3100,Tano Bonnin,198579,27,Dominican Republic,RWB,3900000
3101,P. Ankersen,208564,26,Denmark,RB,4100000
3102,J. Grealish,206517,21,England,LM,6000000
3103,D. Pelkas,208053,23,Greece,CM,5500000
3104,Lulinha,180405,27,Brazil,CM,4200000
3105,M. Pugh,166838,30,England,LM,3800000
3106,A. Lozano,205495,24,Honduras,CAM,5500000
3107,Y. Ayhan,143799,35,Turkey,CB,950000
3108,M. Tisserand,216247,24,DR Congo,CB,4700000
3109,N. Skubic,231095,28,Slovenia,RB,3200000
3110,E. Bardhi,237239,21,FYR Macedonia,CM,6000000
3111,M. Antenucci,188599,32,Italy,ST,3200000
3112,P. Candiyana,159928,29,Chile,RB,3000000
3113,Pierrino Faria,230328,29,Brazil,GK,2700000
3114,T. Abraham,231352,19,England,ST,7500000
3115,R. Neustädter,186296,29,Russia,CDM,3100000
3116,M. Rzatkowski,199353,27,Germany,CAM,4100000
3117,R. Durmisi,211385,23,Denmark,LWB,4700000
3118,F. Tobio,213433,27,Argentina,CB,3800000
3119,B. Pearson,213689,22,England,CM,4500000
3120,R. Henriques,159929,25,Chile,CB,3500000
3121,Nivo Serpinho,230330,33,Brazil,GK,2000000
3122,Álvaro,201403,26,Spain,ST,5000000
3123,Carmona,168379,29,Spain,CM,3900000
3124,D. Marcq,181436,28,France,CM,3200000
3125,Raúl Lizoain,199101,26,Spain,GK,3300000
3126,L. Villafañez,214973,25,Argentina,RM,4900000
3127,S. Gigot,219581,23,France,RB,4700000
3128,E. Madrez,159933,33,Chile,LB,1600000
3129,D. Brašanac,236221,25,Serbia,RM,5000000
3130,L. Blas,231102,19,France,RM,6500000
3131,M. Büchel,198079,26,Liechtenstein,CDM,4900000
3132,R. Fraser,207807,23,Scotland,LM,5500000
3133,M. Biševac,178111,33,Serbia,CB,1600000
3134,K. Sigþórsson,184255,27,Iceland,ST,4300000
3135,O. Hiljemark,202944,25,Sweden,CDM,5000000
3136,Evandro,166080,30,Brazil,CAM,3700000
3137,A. del Valle,214209,28,Colombia,ST,4100000
3138,L. Marrone,194753,27,Italy,CB,3800000
3139,V. Claesson,207554,25,Sweden,CM,5000000
3140,Granell,223682,28,Spain,CM,4000000
3141,F. Helander,207555,24,Sweden,CB,4500000
3142,Hernani,225475,23,Brazil,CM,4400000
3143,P. Souaré,193475,27,Senegal,LB,3700000
3144,Adama,213956,21,Spain,RW,7000000
3145,O. Duda,222148,22,Slovakia,CAM,6000000
3146,J. Dorlans,159940,29,Chile,LB,3100000
3147,F. Forestieri,178628,27,Italy,LM,4300000
3148,T. Simons,17605,40,Belgium,CB,0
3149,E. Johansson,206022,28,Sweden,CB,3600000
3150,Hélder Lopes,210118,28,Portugal,LB,3200000
3151,L. Augustinsson,212678,23,Sweden,LB,5500000
3152,M. Rancoret,159942,25,Chile,CDM,3500000
3153,J. Peters,169158,30,Netherlands,CB,3000000
3154,G. Sansone,189894,30,Italy,CAM,3800000
3155,M. Linnes,198599,25,Norway,LB,4100000
3156,S. Tibbling,207559,22,Sweden,CM,5500000
3157,O. Kuzmin,148167,36,Russia,RWB,450000
3158,M. Sylla,224967,23,Senegal,ST,5500000
3159,M. Albæk,189383,27,Denmark,CDM,4500000
3160,J. Plata,202184,25,Ecuador,ST,4300000
3161,W. Weghorst,223689,24,Netherlands,ST,5000000
3162,J. Ito,232905,24,Japan,RB,5000000
3163,Borja García,194761,26,Spain,LM,4900000
3164,T. Zengin,143306,33,Turkey,GK,2000000
3165,N. Penneteau,18122,36,France,GK,550000
3166,D. Segoviniozo,159946,25,Chile,CDM,3500000
3167,J. Clément,163530,32,France,CM,2300000
3168,M. Bakalorz,203979,27,Germany,CM,3800000
3169,A. Al-Habsi,148684,35,Oman,GK,950000
3170,R. Holzhauser,204493,24,Austria,CM,4400000
3171,Kim Seung Joon,227789,22,Korea Republic,RW,5500000
3172,N. Stojiljković,230094,24,Serbia,ST,5500000
3173,J. Jones,112847,35,United States,CDM,1700000
3174,M. Frantz,190671,30,Germany,RM,3700000
3175,David Soria,223952,24,Spain,GK,4400000
3176,A. Micai,224977,23,Italy,GK,4000000
3177,L. Goterio,159953,33,Chile,LB,1600000
3178,Oswaldito Cuba,230353,33,Brazil,LM,1500000
3179,A. Limbombe,201938,22,Belgium,LW,5500000
3180,M. Samatta,218066,24,Tanzania,ST,5500000
3181,A. Mvuemba,153298,32,DR Congo,CDM,3000000
3182,K. McDonald,175314,28,Scotland,CM,3200000
3183,J. Cabot,212947,23,France,ST,5500000
3184,D. Musto,216019,30,Argentina,CDM,3000000
3185,Douglas Luiz,236499,19,Brazil,CDM,7000000
3186,V. Torosidis,181459,32,Greece,LB,2200000
3187,Rúben Ferreira,205524,27,Portugal,LB,3700000
3188,J. Ermeño,159956,25,Chile,CM,3500000
3189,Z. Machach,228821,21,France,CM,5500000
3190,D. Rodríguez,213974,27,Uruguay,CM,3800000
3191,L. Lollo,215254,30,Argentina,CB,3000000
3192,A. Cornelius,201943,24,Denmark,ST,5500000
3193,K. Frei,204247,23,Turkey,RM,5500000
3194,B. Gibson,200408,24,England,CB,4800000
3195,C. Taylor,204760,23,England,LB,4700000
3196,Sergi Samper,208088,22,Spain,CM,4800000
3197,A. Hegazy,210648,26,Egypt,CB,4200000
3198,R. Lod,228312,24,Finland,RM,5000000
3199,M. Lacen,169432,33,Algeria,CM,1600000
3200,D. Gray,220633,21,England,LM,6500000
3201,C. Larin,226777,22,Canada,ST,6000000
3202,P. Etebo,234457,21,Nigeria,CAM,6000000
3203,P. Chavarría,199387,29,Argentina,RM,4000000
3204,Ademilson,207835,23,Brazil,RM,5500000
3205,E. Prib,192732,27,Russia,CM,4200000
3206,A. Adnan,223198,23,Iraq,LM,4600000
3207,Diogo Gonçalves,231390,20,Portugal,LM,7000000
3208,F. Zampedri,232670,29,Argentina,ST,4000000
3209,A. Zeneli,221919,22,Kosovo,RW,5500000
3210,N. Barazite,183519,27,Netherlands,CAM,4600000
3211,J. Börner,194015,26,Germany,CB,3500000
3212,Tomás Pina,198368,29,Spain,CDM,3800000
3213,Fran Mérida,183520,27,Spain,CAM,3800000
3214,S. Caulker,193504,25,England,CB,4300000
3215,L. Blanchard,203745,29,Italy,CB,3100000
3216,R. Lawal,208609,27,Nigeria,CAM,3900000
3217,Tito,145889,31,Spain,LB,2600000
3218,D. Randolph,169697,30,Republic of Ireland,GK,2600000
3219,C. Cathcart,180706,28,Northern Ireland,RB,3200000
3220,Ivo Pinto,197860,27,Portugal,RB,3300000
3221,J. Insaurralde,153060,32,Argentina,CB,2300000
3222,Zaldúa,220132,25,Spain,RB,4300000
3223,R. van Eijden,187620,29,Netherlands,CB,3100000
3224,Pedro Mendes,200677,26,Portugal,CB,4300000
3225,A. Bjelland,183781,28,Denmark,LB,3200000
3226,M. Kelly,184037,27,England,CB,3700000
3227,J. Gutiérrez,142822,33,Argentina,LM,2300000
3228,L. Mareček,187878,27,Czech Republic,CM,3400000
3229,D. Novaretti,193510,32,Argentina,CB,2300000
3230,O. Alderete,240359,20,Paraguay,LB,5500000
3231,H. Ejeda,159976,33,Chile,LM,2400000
3232,M. Hansen,184040,27,Denmark,GK,3400000
3233,G. McCleary,189160,30,Jamaica,ST,3800000
3234,Luccas Claro,203241,25,Brazil,CB,4200000
3235,B. Alemán,215018,27,Uruguay,CM,4200000
3236,I. Köybaşı,189930,27,Turkey,LB,3300000
3237,M. Al Owais,210923,25,Saudi Arabia,GK,3900000
3238,L. Grant,53739,34,England,GK,1600000
