,Name,ID,Age,Nationality,Overall,Potential,primary_pos
1830,Douglas Santos,210822,23,Brazil,75,81,LB
1831,Ximo Navarro,198023,27,Spain,75,78,LB
1832,R. Inglese,199559,25,Italy,75,78,ST
1833,M. Dembélé,211591,20,France,75,85,ST
1834,M. Angeleri,162951,34,Argentina,75,75,RB
1835,E. Pieters,178567,28,Netherlands,75,75,LWB
1836,H. Sakai,208520,27,Japan,75,75,RB
1837,Cássio,165769,36,Brazil,75,75,GK
1838,R. van Wolfswinkel,184457,28,Netherlands,75,75,ST
1839,M. Suárez,188042,29,Argentina,75,75,ST
1840,K. Westwood,172939,32,Republic of Ireland,75,75,GK
1841,M. Britos,189067,31,Uruguay,75,75,CB
1842,B. Engels,210828,22,Belgium,75,82,CB
1843,A. McCarthy,189324,27,England,75,77,GK
1844,A. Cambrillo,160141,29,Chile,75,75,ST
1845,G. Dzhikiya,229773,23,Russia,75,81,CB
1846,Dani Castellano,190093,29,Spain,75,75,LB
1847,P. Højbjerg,213648,21,Denmark,75,81,CDM
1848,B. Santamaria,219792,22,France,75,80,CM
1849,S. Scuffet,220048,21,Italy,75,83,GK
1850,E. Moretti,46736,36,Italy,75,75,CB
1851,O. Yokuşlu,205201,23,Turkey,75,80,CM
1852,Dani Hernández,189586,31,Venezuela,75,75,GK
1853,S. Jung,192658,27,Germany,75,76,RB
1854,D. Amartey,212883,22,Ghana,75,82,CM
1855,R. Özcan,152211,33,Austria,75,75,GK
1856,L. Lereas,160148,25,Chile,75,75,ST
1857,S. Schaars,137109,33,Netherlands,75,75,CM
1858,I. Ezekiel,208022,23,Nigeria,75,80,ST
1859,M. Olsson,184472,29,Sweden,75,75,LB
1860,W. Tesillo,214169,27,Colombia,75,76,CB
1861,P. Cannavaro,1178,36,Italy,75,75,CB
1862,G. Donati,197786,27,Italy,75,76,RB
1863,Y. Kubo,217242,23,Japan,75,80,ST
1864,O. Toivonen,176794,30,Sweden,75,75,ST
1865,E. Emenike,199835,30,Nigeria,75,75,RM
1866,F. Đorđević,186524,29,Serbia,75,75,ST
1867,Rubén Blanco,211101,21,Spain,75,83,GK
1868,D. Lazović,212127,26,Serbia,75,75,LW
1869,F. Vidangosa,159903,33,Chile,75,75,GK
1870,Tana,219808,26,Spain,75,75,LM
1871,M. Yoshida,191648,28,Japan,75,75,CB
1872,D. Cataldi,211361,22,Italy,75,83,CDM
1873,C. Marrugo,176545,31,Colombia,75,75,CAM
1874,A. Pulido,192930,26,Mexico,75,77,ST
1875,Samu García,201379,27,Spain,75,75,ST
1876,Frederico Venâncio,211107,24,Portugal,75,80,CB
1877,J. Gbamin,214947,21,Ivory Coast,75,83,CDM
1878,V. Guerra,160163,29,Chile,75,75,CDM
1879,A. Mitrović,215716,22,Serbia,75,80,ST
1880,Kiko Femenía,189860,26,Spain,75,78,RM
1881,C. Chambers,205989,22,England,75,84,RB
1882,L. Rigoni,138918,32,Italy,75,75,CDM
1883,C. Daniels,169638,30,England,75,75,LB
1884,Kike García,192678,27,Spain,75,76,ST
1885,K. Stafylidis,202151,23,Greece,75,79,LB
1886,N. Asare,158375,30,Ghana,75,75,LB
1887,Sabin Merino,226215,25,Spain,75,78,RW
1888,C. Rodríguez,170664,31,Uruguay,75,75,LM
1889,K. Johnsson,190120,27,Sweden,75,77,GK
1890,I. Belfodil,194728,25,Algeria,75,79,ST
1891,S. Missiroli,176553,31,Italy,75,75,CM
1892,S. Floccari,169386,35,Italy,75,75,ST
1893,E. Gigliotti,200875,30,Argentina,75,75,ST
1894,A. Eschenko,170923,33,Russia,75,75,RWB
1895,J. Kodjia,189099,27,Ivory Coast,75,76,ST
1896,Siqueira,173228,31,Brazil,75,75,LB
1897,Nuno Pinto,179884,30,Portugal,75,75,LB
1898,Zeca,168621,28,Greece,75,75,CM
1899,C. Toselli,189357,29,Chile,75,75,GK
1900,R. Elm,167599,29,Sweden,75,75,CM
1901,H. Kaldırım,125871,27,Turkey,75,75,LB
1902,C. Cordeso,159920,25,Chile,75,75,LM
1903,I. Piris,204977,28,Paraguay,75,75,CB
1904,F. Monetti,215985,28,Argentina,75,78,GK
1905,M. Wakaso,188337,26,Ghana,75,75,RM
1906,V. Şen,189105,29,Turkey,75,75,RM
1907,Douglas,187570,34,Brazil,75,75,GK
1908,I. Strinić,201139,29,Croatia,75,75,LB
1909,Y. Mvogo,206003,23,Switzerland,75,82,GK
1910,Kaíquão Castro,230323,33,Brazil,75,75,GK
1911,G. Shibasaki,232883,25,Japan,75,81,ST
1912,M. Bodmer,51123,34,France,75,75,CAM
1913,W. Hughes,206516,22,England,75,84,CM
1914,I. Amadou,211382,24,Cameroon,75,81,CB
1915,Varela,178614,29,Cape Verde,75,75,CB
1916,Jefferson,188086,28,Brazil,75,75,LB
1917,E. Dinsol,159927,29,Chile,75,75,RM
1918,K. Iheanacho,225719,20,Nigeria,75,86,ST
1919,R. Bajić,230072,23,Bosnia Herzegovina,75,82,CAM
1920,P. Schwegler,158905,30,Switzerland,75,75,CM
1921,B. Wood,202428,24,United States,75,81,ST
1922,Jaume,220604,26,Spain,75,79,GK
1923,V. Fischer,203965,23,Denmark,75,82,CAM
1924,I. Brizuela,190653,26,Mexico,75,75,LW
1925,D. Ginczek,192445,26,Germany,75,77,ST
1926,I. Fernández,215998,27,Argentina,75,76,CDM
1927,M. Sarr,235454,18,France,75,88,LB
1928,S. Kljestan,176062,31,United States,75,75,CM
1929,F. Pardo,214207,26,Colombia,75,75,LM
1930,C. Maggio,149184,35,Italy,75,75,RB
1931,Salvador Agra,204737,25,Portugal,75,78,LW
1932,J. Figal,219841,23,Argentina,75,82,RB
1933,V. Vada,220609,21,Argentina,75,82,CM
1934,Andeson Trigo,230337,29,Brazil,75,75,CAM
1935,Gottardi,183745,31,Brazil,75,75,GK
1936,J. Gondorf,211907,29,Germany,75,75,CDM
1937,Alex Alegría,220355,24,Spain,75,82,ST
1938,M. Jørgensen,183491,27,Denmark,75,78,CB
1939,J. Walters,138436,33,Republic of Ireland,75,75,RM
1940,R. Bensebaini,224196,22,Algeria,75,80,LB
1941,Trashorras,159172,36,Spain,75,75,CAM
1942,J. McArthur,171972,29,Scotland,75,75,CAM
1943,Botía,191688,28,Spain,75,75,CB
1944,S. Ward,165321,31,Republic of Ireland,75,75,LB
1945,Pedrinho,235210,24,Portugal,75,80,CAM
1946,A. Robertson,216267,23,Scotland,75,82,LWB
1947,M. Alcoraz,159947,29,Chile,75,75,CB
1948,B. Sarmiento,182731,27,Argentina,75,76,LM
1949,Lafortiscinho,230348,25,Brazil,75,75,LB
1950,Rubén Pérez,190156,28,Spain,75,76,CM
1951,H. Acevedo,159949,29,Chile,75,75,LB
1952,D. Maroh,190670,30,Slovenia,75,75,CB
1953,A. Baredia,159951,25,Chile,75,75,RB
1954,R. Haps,210384,24,Netherlands,75,79,LB
1955,K. Linetty,211408,22,Poland,75,85,CDM
1956,T. Hernández,232656,19,France,75,85,LB
1957,Ricardo,182736,34,Portugal,75,75,GK
1958,S. Dzhanaev,187601,30,Russia,75,75,GK
1959,O. Niasse,208339,27,Senegal,75,75,ST
1960,R. Borré,220883,21,Colombia,75,84,ST
1961,E. Zukanović,190931,30,Bosnia Herzegovina,75,75,LB
1962,N. Isimat-Mirin,198868,25,France,75,78,CB
1963,S. Özbayraklı,223188,27,Turkey,75,76,RB
1964,Toño García,204757,27,Spain,75,76,LWB
1965,Mattheus Oliveira,209621,22,Brazil,75,82,LM
1966,A. Szalai,184789,29,Hungary,75,75,ST
1967,A. Peñaranda,231638,20,Venezuela,75,85,LM
1968,B. Koné,183766,29,Burkina Faso,75,75,CB
1969,L. Torreira,223959,21,Uruguay,75,83,CM
1970,M. Sels,199641,25,Belgium,75,79,GK
1971,S. Falette,206553,25,France,75,78,CB
1972,A. Cerci,178393,29,Italy,75,75,RW
1973,F. Kamano,224218,21,Guinea,75,80,ST
1974,T. Gebre Selassie,186330,30,Czech Republic,75,75,RM
1975,H. Vanaken,200155,24,Belgium,75,78,CAM
1976,R. Mason,190683,26,England,75,77,CAM
1977,O. Ivanov,162780,30,Russia,75,75,CM
1978,E. Bolindos,159965,29,Chile,75,75,CDM
1979,J. Lopendañez,159966,25,Chile,75,75,CAM
1980,S. Gürler,196318,25,Turkey,75,76,LM
1981,M. Mantovani,208607,32,Argentina,75,75,CB
1982,A. Surman,172768,30,England,75,75,CDM
1983,S. Sensi,229857,21,Italy,75,83,CDM
1984,J. Ferri,206306,25,France,75,78,CM
1985,Omar Ramos,168930,29,Spain,75,75,LM
1986,Victildinho,230371,33,Brazil,75,75,RM
1987,D. Jensen,190947,25,Denmark,75,78,GK
1988,A. Umar,229092,22,Nigeria,75,81,LM
1989,L. Zelarayán,215270,25,Argentina,75,80,CDM
1990,N. El Zhar,183526,30,Morocco,75,75,LM
1991,K. Naughton,186598,28,England,75,75,RB
1992,J. Lerma,213991,22,Colombia,75,83,RB
1993,T. Leistner,204776,26,Germany,75,78,CB
1994,Isaac Becerra,208616,29,Spain,75,76,GK
1995,R. Kishna,211176,22,Netherlands,75,82,CAM
1996,M. Halstenberg,210665,25,Germany,75,79,LB
1997,L. Dunk,199915,25,England,75,80,CB
1998,P. Goltz,214763,32,Argentina,75,75,CB
1999,D. Türüç,215531,24,Turkey,75,80,CAM
2000,G. Jara,194795,31,Chile,75,75,CB
2001,D. Poloz,201452,25,Russia,75,78,CAM
2002,J. Badamontes,159980,29,Chile,75,75,RM
2003,A. Cohen,199661,28,Israel,75,75,CM
2004,A. McGeady,155885,31,Republic of Ireland,75,75,RM
2005,S. Cardenia,159981,33,Chile,75,75,CAM
2006,Kaimo Lima,230381,33,Brazil,75,75,LB
2007,De la Bella,172013,31,Spain,75,75,LB
2008,L. Ciman,157678,31,Belgium,75,75,CB
2009,José Cañas,192238,30,Spain,75,75,CM
2010,Renato Neto,199663,25,Brazil,75,78,CM
2011,F. Brienza,137199,38,Italy,75,75,CM
2012,Z. Labyad,198640,24,Morocco,75,78,LW
2013,Titi,182001,29,Brazil,75,75,CB
2014,J. Carrizo,167666,33,Argentina,75,75,GK
2015,Lekue,225523,24,Spain,75,81,LWB
2016,Djavan,217844,29,Brazil,75,75,LB
2017,Davi Parrela,230388,29,Brazil,75,75,CDM
2018,Luna,199157,26,Spain,75,78,LB
2019,L. González Pirez,199669,25,Argentina,75,78,CB
2020,M. Oršić,221174,24,Croatia,75,79,LW
2021,S. Salihović,157430,32,Bosnia Herzegovina,75,75,LM
2022,C. Dawson,194806,27,England,75,76,CB
2023,M. Schnatterer,211703,31,Germany,75,75,LW
2024,F. Carrizo,216055,26,Argentina,75,76,RW
2025,O. Kharbin,237303,23,Syria,75,81,ST
2026,M. Sall,178679,31,Senegal,75,75,CB
2027,Y. Benalouane,183288,30,Tunisia,75,75,RB
2028,J. Biabiany,184312,29,France,75,75,RM
2029,H. Tekin,199417,28,Turkey,75,76,GK
2030,L. Pisculichi,158969,33,Argentina,75,75,RM
2031,Adrián,173818,29,Spain,75,75,RM
2032,G. González,208379,29,Costa Rica,75,75,CB
2033,P. Nakoulma,190716,30,Burkina Faso,75,75,RM
2034,W. Boly,202750,26,France,75,78,CB
2035,Welthon,203774,25,Brazil,75,80,ST
2036,C. Pavón,224254,21,Argentina,75,84,ST
2037,C. Villanueva,188414,31,Chile,75,75,CM
2038,G. Donsah,221695,21,Ghana,75,83,CM
2039,A. Aquilani,103935,32,Italy,75,75,CDM
2040,Manu García,172287,31,Spain,75,75,CM
2041,J. Sorbon,167936,33,France,74,74,CB
2042,L. Orbán,191488,28,Argentina,74,74,CB
2043,S. Araujo,198145,25,Argentina,74,78,ST
2044,J. Svensson,198657,24,Norway,74,79,RB
2045,K. Mokotjo,199169,26,South Africa,74,75,CDM
2046,Duirval Diniz,230401,33,Brazil,74,74,RB
2047,J. Hopf,190209,30,Sweden,74,74,GK
2048,B. Dabo,199170,25,France,74,79,RB
2049,André Martins,200962,27,Portugal,74,75,CAM
2050,N. Karelis,210947,25,Greece,74,78,ST
2051,V. Jovanović,233219,21,Serbia,74,83,CB
2052,Alex Bergantiños,188931,32,Spain,74,74,CB
2053,David Juncà,202501,23,Spain,74,80,LB
2054,R. Riou,168965,29,France,74,74,GK
2055,L. Sobiech,194053,26,Germany,74,75,CB
2056,Guerrero,198150,26,Spain,74,75,ST
2057,J. Drobný,150278,37,Czech Republic,74,74,GK
2058,A. Acquah,201223,25,Ghana,74,77,CM
2059,S. van Beek,213000,22,Netherlands,74,78,CB
2060,G. Maripán,219145,23,Chile,74,78,CB
2061,D. Braghieri,215050,30,Argentina,74,74,CB
2062,B. Berisha,157707,31,Kosovo,74,74,ST
2063,Da Costa,189707,33,Brazil,74,74,GK
2064,M. Dossevi,183820,29,Togo,74,74,RM
2065,Léo Bonatini,220685,23,Brazil,74,81,ST
2066,S. Sam,177934,29,Germany,74,74,RW
2067,V. Acerval,160015,29,Chile,74,74,GK
2068,R. Petrović,195087,28,Serbia,74,74,CM
2069,A. Corveto,160017,25,Chile,74,74,GK
2070,Edercinho Sepa,230417,29,Brazil,74,74,CDM
2071,A. Clayton,186385,28,England,74,75,CM
2072,O. Othman,208914,31,Saudi Arabia,74,74,CB
2073,E. Velázquez,225299,23,Uruguay,74,81,CB
2074,Jaime Romero,189459,26,Spain,74,74,LM
2075,A. Waris,198420,25,Ghana,74,77,LW
2076,M. Russ,157716,31,Germany,74,74,CDM
2077,Márcio Azevedo,181269,31,Brazil,74,74,LB
2078,J. Denayer,220182,22,Belgium,74,81,CDM
2079,Fernando Navarro,53014,35,Spain,74,74,LB
2080,Pascoal Muscato,230423,25,Brazil,74,74,CM
2081,R. Laborde,187671,29,Colombia,74,74,RM
2082,Y. Seleznyov,189975,31,Ukraine,74,74,ST
2083,A. Nagy,230936,22,Hungary,74,85,CDM
2084,J. Ward,186392,27,England,74,75,LB
2085,J. Schunke,215321,30,Argentina,74,74,CB
2086,A. Sinitsyn,166937,29,Russia,74,75,GK
2087,A. Barnes,186905,27,Austria,74,74,CAM
2088,A. Ba,204826,26,Senegal,74,76,CB
2089,J. Adéoti,209691,28,Benin,74,75,CDM
2090,Zeng Cheng,182043,30,China PR,74,74,GK
2091,Saúl Berjón,189211,31,Spain,74,74,CAM
2092,S. Armenteros,189723,27,Sweden,74,75,ST
2093,J. Neiroga,160028,25,Chile,74,74,LM
2094,C. Beauvue,183068,29,France,74,74,RW
2095,Candeias,189468,29,Portugal,74,74,RM
2096,Y. Öztekin,190748,30,Turkey,74,74,LM
2097,A. Scholz,212253,24,Denmark,74,79,CB
2098,Danilo,223517,21,Brazil,74,81,CDM
2099,E. Akbaba,230685,24,Turkey,74,79,CM
2100,J. Molina,183581,29,Mexico,74,74,CM
2101,P. Roberts,221982,20,England,74,84,RM
2102,M. Lopez,224030,19,France,74,83,CM
2103,A. Maher,200223,23,Netherlands,74,78,CM
2104,D. Machís,210463,24,Venezuela,74,80,ST
2105,M. Kempf,210719,22,Germany,74,81,CB
2106,M. Casco,215071,29,Argentina,74,74,LB
2107,Caio Milaçar,234015,33,Brazil,74,74,CAM
2108,Víctor Álvarez,202529,24,Spain,74,80,LM
2109,J. Amavi,219681,23,France,74,80,LB
2110,C. Chantôme,177953,29,France,74,74,CDM
2111,G. Pandev,137506,33,FYR Macedonia,74,74,CAM
2112,L. Sepe,191011,26,Italy,74,77,GK
2113,M. Hawsawi,225060,25,Saudi Arabia,74,80,CB
2114,B. Watson,160292,31,England,74,74,CM
2115,Juankar,201509,27,Spain,74,75,LWB
2116,S. Al Faraj,191269,27,Saudi Arabia,74,74,CDM
2117,G. Carrillo,215334,26,Argentina,74,75,ST
2118,Ayoze Pérez,215590,23,Spain,74,81,LM
2119,C. Nevorrete,160038,25,Chile,74,74,RB
2120,R. Gestede,187942,28,Benin,74,74,ST
2121,C. Jean,211239,21,France,74,86,ST
2122,J. Pavlenka,236583,25,Czech Republic,74,79,GK
2123,V. Berisha,191783,24,Kosovo,74,79,CM
2124,G. Ferrari,224808,25,Italy,74,79,CB
2125,G. Svensson,177448,30,Sweden,74,74,CB
2126,Gerso,209449,26,Guinea Bissau,74,75,LW
2127,Rubén Peña,211241,25,Spain,74,77,RM
2128,N. Araujo,192041,25,Mexico,74,77,CB
2129,Enaldo Praz,230186,29,Brazil,74,74,LB
2130,Ivan Cavaleiro,212267,23,Portugal,74,79,ST
2131,S. Kırıntılı,144172,32,Turkey,74,74,GK
2132,E. Crivelli,221740,22,France,74,81,ST
2133,F. Andrijašević,239148,26,Croatia,74,76,CAM
2134,J. Basanta,172077,33,Argentina,74,74,CB
2135,Diego Farías,189485,27,Brazil,74,75,LW
2136,D. Maietta,137774,34,Italy,74,74,CB
2137,Lora,185135,30,Spain,74,74,RB
2138,Rômulo,193839,30,Italy,74,74,RB
2139,L. Baker,211504,22,England,74,82,CAM
2140,A. Najar,198705,24,Honduras,74,78,RM
2141,T. Ndombele,235569,20,France,74,86,CM
2142,Arbilla,199986,30,Spain,74,74,LB
2143,T. Ciğerci,200754,25,Turkey,74,77,CM
2144,N. Elvedi,221491,20,Switzerland,74,84,RB
2145,Odriozola,234035,21,Spain,74,84,RM
2146,O. Şahan,189491,30,Turkey,74,74,LM
2147,P. Lasogga,198196,25,Germany,74,77,ST
2148,I. Scocco,171828,32,Argentina,74,74,ST
2149,M. Besler,190772,30,United States,74,74,CB
2150,Marcelo Goiano,216373,29,Brazil,74,74,RB
2151,D. Falcinelli,193077,26,Italy,74,75,ST
2152,M. López,138806,33,Argentina,74,74,ST
2153,André Geraldes,221750,26,Portugal,74,76,RB
2154,I. Maksimov,166710,30,Russia,74,74,ST
2155,Claudemir,186935,29,Brazil,74,74,CDM
2156,B. Poulain,188727,29,France,74,74,CB
2157,T. Rogić,207928,24,Australia,74,77,CAM
2158,Raúl Fernández,186680,29,Spain,74,76,GK
2159,L. Schaub,210489,22,Austria,74,80,CAM
2160,P. Crouch,51257,36,England,74,74,ST
2161,Víctor Díaz,183353,29,Spain,74,74,LB
2162,Jailson Caeiro,230202,25,Brazil,74,74,RM
2163,G. Daralla,160059,25,Chile,74,74,CB
2164,T. Mykhalyk,179515,33,Ukraine,74,74,CDM
2165,N. Vikonis,214076,33,Uruguay,74,74,GK
2166,Kiko Olivas,186684,28,Spain,74,74,CB
2167,M. Kanunnikov,194876,25,Russia,74,77,RM
2168,A. Prijović,189757,27,Serbia,74,75,ST
2169,L. Abecasis,205630,27,Argentina,74,75,RB
2170,Matheus Pereira,228414,21,Brazil,74,85,RW
2171,F. Pereyra,207679,29,Argentina,74,74,ST
2172,Kel Perinho,230207,33,Brazil,74,74,CB
2173,L. Butelle,49472,34,France,74,74,GK
2174,R. Walter,213313,22,France,74,82,CDM
2175,E. Evaldes,160065,29,Chile,74,74,CB
2176,Hugo Goiteira,230209,25,Brazil,74,74,CB
2177,S. Gakpé,169281,30,Togo,74,74,ST
2178,M. Laba,214594,25,Argentina,74,78,CM
2179,Fábio Melitinho,230466,33,Brazil,74,74,LM
2180,Yoon Bo Sang,233282,23,Korea Republic,74,80,GK
2181,D. Suárez,203843,29,Uruguay,74,74,RWB
2182,R. Quaison,208451,23,Sweden,74,81,ST
2183,R. Centurión,211267,24,Argentina,74,79,CAM
2184,Hong Chul,199236,26,Korea Republic,74,75,LM
2185,B. Afobe,202052,24,DR Congo,74,79,ST
2186,José Mirazar,230468,33,Brazil,74,74,LM
2187,G. Peñalba,172100,32,Argentina,74,74,CDM
2188,M. Rojas,193092,25,New Zealand,74,76,RW
2189,Diego Mariño,199493,27,Spain,74,77,GK
2190,Carles Planas,200517,26,Spain,74,77,LB
2191,Kim Jin Su,213317,25,Korea Republic,74,78,LB
2192,G. Contreso,160069,33,Chile,74,74,RB
2193,Kaíqundo Calado,230213,25,Brazil,74,74,CDM
2194,M. Hedges,206662,27,United States,74,74,CB
2195,A. Çalık,223046,23,Turkey,74,79,CB
2196,J. Ledley,165190,30,Wales,74,74,CM
2197,Míchel,190535,28,Spain,74,74,CM
2198,S. Igboun,199752,26,Nigeria,74,74,RM
2199,E. Albayrak,144200,26,Turkey,74,75,LM
2200,C. Adam,155976,31,Scotland,74,74,CAM
2201,N. Barresta,160072,25,Chile,74,74,RM
2202,Lato,232008,19,Spain,74,83,LM
2203,Suk Hyun Jun,195912,26,Korea Republic,74,76,ST
2204,T. Ince,200521,25,England,74,77,CAM
2205,Víctor Rodríguez,211017,27,Spain,74,74,CM
2206,David Rodríguez,170569,31,Spain,74,74,ST
2207,J. Kembo-Ekoko,178249,29,France,74,74,ST
2208,S. Anđelković,202058,31,Slovenia,74,74,CB
2209,A. Katai,204874,26,Serbia,74,75,LM
2210,Élton,159818,31,Brazil,74,74,ST
2211,N. de Jong,53578,32,Netherlands,74,74,CM
2212,M. Dijks,208459,24,Netherlands,74,76,LB
2213,S. Decarli,213323,25,Switzerland,74,78,CB
2214,A. Miranchuk,214092,21,Russia,74,81,ST
2215,M. Nervo,213581,26,Argentina,74,78,RB
2216,K. Mączyński,174669,30,Poland,74,74,CM
2217,D. Kreilach,215886,28,Croatia,74,74,CDM
2218,N. Fuenzas,160078,29,Chile,74,74,CDM
2219,T. Torun,189263,27,Turkey,74,74,LM
2220,A. Chipciu,212048,28,Romania,74,74,RM
2221,Jorge,229712,21,Brazil,74,82,LB
2222,U. Emanuelson,169808,31,Netherlands,74,74,CDM
2223,D. Vera,182864,32,Uruguay,74,74,ST
2224,B. Nivet,3665,40,France,74,74,CM
2225,L. Carole,201041,26,France,74,77,LB
2226,F. Al Muwallad,208977,22,Saudi Arabia,74,82,CAM
2227,D. Congré,163665,32,France,74,74,LB
2228,M. Rensing,121937,33,Germany,74,74,GK
2229,Renato Santos,210258,25,Portugal,74,75,RM
2230,Àngel Rangel,153938,34,Spain,74,74,RB
2231,D. Kuzyaev,223058,24,Russia,74,78,CAM
2232,P. Retomal,160082,25,Chile,74,74,CM
2233,Marlon Nideiro,230482,33,Brazil,74,74,CAM
2234,B. Dejaegere,201043,26,Belgium,74,76,RM
2235,Jacson Zonta,230483,33,Brazil,74,74,LM
2236,J. Morel,139860,33,France,74,74,CB
2237,R. Fanni,116308,35,France,74,74,RB
2238,F. Sammaritano,187988,31,France,74,74,LW
2239,Joel Robles,195668,27,Spain,74,76,GK
2240,J. Riedewald,221269,20,Netherlands,74,82,LB
2241,T. Sivok,155989,33,Czech Republic,74,74,CB
2242,E. Cardona,192342,24,Colombia,74,78,LW
2243,R. Falk Jensen,201303,25,Denmark,74,77,LM
2244,J. Martínez,153175,31,Argentina,74,74,LM
2245,Leo Caldeirinha,230487,33,Brazil,74,74,LM
2246,T. Sainsbury,199000,25,Australia,74,77,CB
2247,N. Schulz,200536,24,Germany,74,79,LM
2248,Alvildo Sousa,230488,33,Brazil,74,74,CM
2249,David Neres,236632,20,Brazil,74,83,RW
2250,B. Hamid,194904,26,United States,74,77,GK
2251,J. McClean,198489,28,Republic of Ireland,74,74,LM
2252,D. Delaney,159577,35,Republic of Ireland,74,74,CB
2253,F. Đuričić,193881,25,Serbia,74,77,LW
2254,E. Barreto,152922,32,Paraguay,74,74,CDM
2255,F. Mubele,218970,23,DR Congo,74,78,LM
2256,M. Mahi,225114,23,Morocco,74,78,RM
2257,V. Kovalenko,228698,21,Ukraine,74,82,CM
2258,J. Šimunović,231002,22,Bosnia Herzegovina,74,80,CB
2259,D. N'Dinga,188763,29,Congo,74,74,CDM
2260,A. Meret,225116,20,Italy,74,88,GK
2261,C. Montes,229980,20,Mexico,74,82,CB
2262,M. Radović,167516,33,Serbia,74,74,ST
2263,D. Valdés,213597,23,Chile,74,78,CM
2264,J. Cuadrado,214110,32,Colombia,74,74,GK
2265,Fabiano,184926,29,Brazil,74,74,GK
2266,I. Opara,190558,28,United States,74,75,CB
2267,Claudiano Sobrino,230239,33,Brazil,74,74,CM
2268,Hélton Celanova,230495,25,Brazil,74,74,ST
2269,B. Dramé,168799,31,Senegal,74,74,LM
2270,P. Bengtsson,181343,29,Sweden,74,74,LB
2271,Raul García,198240,28,Spain,74,74,CB
2272,M. Milligan,176992,31,Australia,74,74,CB
2273,D. Čop,189536,27,Croatia,74,75,ST
2274,O. Gonzalez,190560,28,United States,74,74,CB
2275,E. Bicfalvi,208737,29,Romania,74,74,LM
2276,Erick Gameira,230497,25,Brazil,74,74,ST
2277,M. Erdinç,176481,30,Turkey,74,74,ST
2278,Nosa,192098,26,Nigeria,74,74,CAM
2279,Pol Lirola,235875,19,Spain,74,80,RB
2280,W. Hennessey,170084,30,Wales,74,74,GK
2281,Gao Lin,158309,31,China PR,74,74,LM
2282,E. Skhiri,225126,22,Tunisia,74,80,CDM
2283,Bruno Xadas,237670,19,Portugal,74,85,CM
2284,A. Büttner,186982,28,Netherlands,74,74,LB
2285,N. Hult,192102,27,Sweden,74,75,LB
2286,Rúben Vezo,215399,23,Portugal,74,80,RB
2287,A. Pérez,159591,36,Colombia,74,74,CDM
2288,Jadson Vidigal,230503,25,Brazil,74,74,ST
2289,J. Drmić,198504,24,Switzerland,74,79,LM
2290,A. McGregor,49000,35,Scotland,74,74,GK
2291,Rúben Ribeiro,182632,29,Portugal,74,74,CAM
2292,G. Angella,189288,28,Italy,74,74,CB
2293,A. Martynovich,203625,29,Belarus,74,74,CB
2294,I. Nestorovski,199274,27,FYR Macedonia,74,75,LW
2295,Cristiano,207722,30,Brazil,74,74,LM
2296,L. Zuffi,210538,27,Switzerland,74,76,CM
2297,Emilio Piodão,230250,25,Brazil,74,74,CM
2298,S. Larsson,164459,32,Sweden,74,74,RM
2299,S. Carson,157804,31,England,74,74,GK
2300,A. Erokhin,203629,27,Russia,74,75,ST
2301,G. Torje,201326,27,Romania,74,74,RM
2302,S. Duffy,192622,25,Republic of Ireland,74,79,CB
2303,Postigo,214639,28,Spain,74,75,CB
2304,E. Peñarendi,160111,33,Chile,74,74,LM
2305,Edvaldisco,230255,25,Brazil,74,74,CAM
2306,F. Ayité,188271,28,Togo,74,74,ST
2307,A. Christiansen,199792,27,Denmark,74,75,CM
2308,G. Sakai,207472,26,Japan,74,76,CDM
2309,R. Brégerie,178032,30,France,74,74,CB
2310,Vasco Fernandes,185200,30,Portugal,74,74,RB
2311,Diogo Figueiras,204401,26,Portugal,74,77,RB
2312,D. Accam,210801,26,Ghana,74,75,LM
2313,A. El Ghazi,216433,22,Netherlands,74,80,RW
2314,E. Triverio,217201,28,Argentina,74,74,ST
2315,B. Rasaldo,160113,33,Chile,74,74,LM
2316,M. Villanueva,233329,24,Venezuela,74,79,CB
2317,C. Ünder,235889,19,Turkey,74,83,LM
2318,Thiago Mendes,213874,25,Brazil,74,79,RB
2319,P. Barrientos,162932,32,Argentina,74,74,LM
2320,Filipe Augusto,207733,23,Brazil,74,81,CDM
2321,P. Capelle,209781,30,France,74,74,LW
2322,H. Rodallega,168565,31,Colombia,74,74,ST
2323,A. Epureanu,182133,30,Moldova,74,74,CB
2324,M. Caraglio,192373,28,Argentina,74,74,ST
2325,B. Dja Djédjé,199286,26,Ivory Coast,74,76,RB
2326,Paulinho,207734,22,Brazil,74,82,LW
2327,Maurício António,232310,25,Brazil,74,77,CB
2328,C. Gordon,53110,34,Scotland,74,74,GK
2329,A. Costa,188791,32,Argentina,74,74,CDM
2330,Nélson Oliveira,189303,25,Portugal,74,77,ST
2331,Eraso,223608,27,Spain,74,75,CDM
2332,M. Konaté,211321,24,Senegal,74,80,ST
2333,W. Barrios,214394,23,Colombia,74,82,CM
2334,Perdigão,234618,25,Brazil,74,75,RW
2335,A. Costa,178042,31,Italy,74,74,CB
2336,N. Rigoni,190330,26,Italy,74,77,CDM
2337,V. Gabulov,147579,33,Russia,74,74,GK
2338,I. Kahveci,225403,21,Turkey,74,80,LM
2339,Sebas Couteira,230267,29,Brazil,74,74,RM
